outcome,term,estimate,std.error,p.value,sig
Verbal Fluency,(Intercept),17.095,0.357,0,***
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones),-0.056,0.27,0.8355,
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones),-0.783,0.391,0.045,*
Verbal Fluency,time,0.118,0.082,0.151,
Verbal Fluency,time_sq,-0.041,0.01,1e-4,***
Verbal Fluency,age_c,-0.248,0.012,0,***
Verbal Fluency,sex_factorFemale,0.297,0.217,0.1711,
Verbal Fluency,education_3catIntermediate (A/O level),2.054,0.28,0,***
Verbal Fluency,education_3catHigher (degree/equiv),3.17,0.28,0,***
Verbal Fluency,wealth_quintileQ2,0.831,0.359,0.0206,*
Verbal Fluency,wealth_quintileQ3,2.078,0.357,0,***
Verbal Fluency,wealth_quintileQ4,2.654,0.36,0,***
Verbal Fluency,wealth_quintileQ5 (Highest),3.144,0.367,0,***
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones):time,-0.199,0.123,0.1038,
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones):time,0.103,0.184,0.5744,
Verbal Fluency,hearing_acuityMild difficulty (3-5 tones):time_sq,0.018,0.016,0.2439,
Verbal Fluency,hearing_acuityModerate-severe (0-2 tones):time_sq,-0.022,0.024,0.3735,
Delayed Recall,(Intercept),3.118,0.103,0,***
Delayed Recall,hearing_acuityMild difficulty (3-5 tones),-0.183,0.08,0.0214,*
Delayed Recall,hearing_acuityModerate-severe (0-2 tones),-0.299,0.115,0.0093,**
Delayed Recall,time,-0.111,0.023,0,***
Delayed Recall,time_sq,0.002,0.003,0.498,
Delayed Recall,age_c,-0.087,0.004,0,***
Delayed Recall,sex_factorFemale,0.514,0.062,0,***
Delayed Recall,education_3catIntermediate (A/O level),0.641,0.08,0,***
Delayed Recall,education_3catHigher (degree/equiv),0.946,0.08,0,***
Delayed Recall,wealth_quintileQ2,0.418,0.103,1e-4,***
Delayed Recall,wealth_quintileQ3,0.655,0.102,0,***
Delayed Recall,wealth_quintileQ4,0.84,0.103,0,***
Delayed Recall,wealth_quintileQ5 (Highest),1.048,0.105,0,***
Delayed Recall,hearing_acuityMild difficulty (3-5 tones):time,-0.004,0.035,0.9124,
Delayed Recall,hearing_acuityModerate-severe (0-2 tones):time,0.021,0.052,0.684,
Delayed Recall,hearing_acuityMild difficulty (3-5 tones):time_sq,-0,0.004,0.941,
Delayed Recall,hearing_acuityModerate-severe (0-2 tones):time_sq,-0.007,0.007,0.2971,
Immediate Recall,(Intercept),4.709,0.084,0,***
Immediate Recall,hearing_acuityMild difficulty (3-5 tones),-0.147,0.068,0.0306,*
Immediate Recall,hearing_acuityModerate-severe (0-2 tones),-0.28,0.098,0.0043,**
Immediate Recall,time,-0.082,0.022,2e-4,***
Immediate Recall,time_sq,0,0.003,0.905,
Immediate Recall,age_c,-0.067,0.003,0,***
Immediate Recall,sex_factorFemale,0.396,0.049,0,***
Immediate Recall,education_3catIntermediate (A/O level),0.545,0.064,0,***
Immediate Recall,education_3catHigher (degree/equiv),0.776,0.063,0,***
Immediate Recall,wealth_quintileQ2,0.38,0.082,0,***
Immediate Recall,wealth_quintileQ3,0.44,0.081,0,***
Immediate Recall,wealth_quintileQ4,0.726,0.082,0,***
Immediate Recall,wealth_quintileQ5 (Highest),0.884,0.083,0,***
Immediate Recall,hearing_acuityMild difficulty (3-5 tones):time,0.014,0.033,0.6656,
Immediate Recall,hearing_acuityModerate-severe (0-2 tones):time,0.044,0.05,0.3724,
Immediate Recall,hearing_acuityMild difficulty (3-5 tones):time_sq,-0.003,0.004,0.5272,
Immediate Recall,hearing_acuityModerate-severe (0-2 tones):time_sq,-0.008,0.007,0.2289,
Serial 7s,(Intercept),3.444,0.086,0,***
Serial 7s,hearing_acuityMild difficulty (3-5 tones),-0.162,0.07,0.02,*
Serial 7s,hearing_acuityModerate-severe (0-2 tones),-0.26,0.102,0.0106,*
Serial 7s,time,0.004,0.025,0.8817,
Serial 7s,time_sq,-0.004,0.003,0.1684,
Serial 7s,age_c,-0.009,0.003,0.0033,**
Serial 7s,sex_factorFemale,-0.296,0.05,0,***
Serial 7s,education_3catIntermediate (A/O level),0.327,0.064,0,***
Serial 7s,education_3catHigher (degree/equiv),0.446,0.064,0,***
Serial 7s,wealth_quintileQ2,0.144,0.084,0.0875,.
Serial 7s,wealth_quintileQ3,0.27,0.084,0.0013,**
Serial 7s,wealth_quintileQ4,0.415,0.084,0,***
Serial 7s,wealth_quintileQ5 (Highest),0.514,0.084,0,***
Serial 7s,hearing_acuityMild difficulty (3-5 tones):time,-0.02,0.037,0.5987,
Serial 7s,hearing_acuityModerate-severe (0-2 tones):time,0.073,0.056,0.1945,
Serial 7s,hearing_acuityMild difficulty (3-5 tones):time_sq,0.005,0.005,0.2582,
Serial 7s,hearing_acuityModerate-severe (0-2 tones):time_sq,-0.005,0.007,0.4687,
